rank,release_date,title,url,production_cost,domestic_gross,worldwide_gross,opening_weekend,mpaa,genre,theaters,runtime,graph,status
488,24-07-2009,G-Force,/movie/G-Force#tab=summary,150000000,119436770,292817841,31706934,PG,Adventure,3697,87,,PROFIT
489,14-06-2013,Man of Steel,/movie/Man-of-Steel#tab=summary,225000000,291045518,667999518,116619362,PG-13,Action,4207,142,,PROFIT
490,29-07-2011,Cowboys and Aliens,/movie/Cowboys-and-Aliens#tab=summary,163000000,100368560,176038324,36431290,PG-13,Action,3754,118,,PROFIT
491,31-07-2013,The Smurfs 2,/movie/Smurfs-2-The#tab=summary,110000000,71017784,348547523,17548389,PG,Adventure,3867,104,,PROFIT
492,08-12-2017,Ferdinand,/movie/Ferdinand#tab=summary,111000000,84410380,288510892,13401586,PG,Adventure,3630,107,,PROFIT
493,24-05-2013,Epic,/movie/Epic#tab=summary,100000000,107518682,262794441,33531068,PG,Adventure,3894,103,,PROFIT
494,09-05-2012,Dark Shadows,/movie/Dark-Shadows#tab=summary,150000000,79727149,238202668,29685274,PG-13,Black Comedy,3755,112,,PROFIT
495,13-06-1997,Speed 2: Cruise Control,/movie/Speed-2-Cruise-Control#tab=summary,110000000,48097081,150468000,16158942,PG-13,Action,2625,125,,PROFIT
496,16-04-2014,The Amazing Spider-Man 2,/movie/Amazing-Spider-Man-2-The#tab=summary,200000000,202853933,708996336,91608337,PG-13,Action,4324,141,,PROFIT
497,29-07-2005,Stealth,/movie/Stealth#tab=summary,138000000,32116746,76416746,13251545,PG-13,Action,3495,121,,LOSS
498,22-12-1995,Cutthroat Island,/movie/Cutthroat-Island#tab=summary,92000000,10017322,18517322,2371415,PG-13,Adventure,1619,NA,,
499,12-10-2016,Trolls,/movie/Trolls#tab=summary,125000000,153707064,343242613,46581142,PG,Adventure,4066,93,,PROFIT
500,09-03-2023,65,/movie/65-(2022)#tab=summary,91000000,0,0,NA,NA,Thriller/Suspense,NA,NA,,
